brand,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
audi,Q7,2020,62985,Semi-Auto,10,Diesel,145,33.2,3
audi,Q5,2020,37985,Semi-Auto,10,Petrol,145,32.1,2
audi,Q5,2020,47895,Semi-Auto,10,Petrol,145,30.7,2
audi,A4,2020,31985,Semi-Auto,10,Petrol,145,42.2,2
audi,Q7,2020,82995,Semi-Auto,826,Diesel,145,29.4,4
audi,A3,2020,35995,Semi-Auto,314,Petrol,150,34.9,2
audi,A4,2020,34798,Semi-Auto,6998,Petrol,145,38.2,2
audi,A4,2020,40780,Semi-Auto,6746,Diesel,145,45.6,2
audi,A4,2020,31985,Manual,7456,Petrol,145,40.9,2
audi,A5,2020,37331,Semi-Auto,7532,Petrol,145,39.2,2
audi,A5,2020,39454,Semi-Auto,7925,Diesel,145,45.6,2
audi,A5,2020,37507,Semi-Auto,7639,Petrol,145,39.8,2
audi,Q3,2020,33462,Semi-Auto,7914,Diesel,145,48.7,2
audi,A4,2020,31265,Semi-Auto,7963,Petrol,145,41.5,2
audi,A5,2020,36312,Semi-Auto,7423,Diesel,145,51.4,2
audi,A4,2020,38534,Semi-Auto,7521,Diesel,145,49.6,2
audi,A8,2020,52995,Semi-Auto,1100,Diesel,145,40.4,3
audi,RS4,2020,69995,Semi-Auto,2200,Petrol,145,28.8,2.9
audi,A7,2020,51995,Semi-Auto,500,Diesel,145,38.7,3
audi,A4,2020,29995,Semi-Auto,100,Petrol,150,39.2,2
audi,Q2,2020,35495,Semi-Auto,1934,Petrol,145,32.5,2
audi,A1,2020,20990,Manual,556,Petrol,145,47.9,1
audi,Q3,2020,33444,Semi-Auto,1904,Petrol,145,31.4,2
audi,Q3,2020,30888,Semi-Auto,525,Petrol,145,40.9,1.5
audi,A3,2020,31990,Semi-Auto,2165,Hybrid,135,141.3,1.4
audi,A1,2020,20888,Manual,1500,Petrol,145,47.9,1
audi,Q5,2020,38888,Semi-Auto,1986,Diesel,145,38.2,2
audi,Q2,2020,24444,Manual,4265,Petrol,145,43.5,1.5
audi,Q3,2020,39888,Semi-Auto,1765,Petrol,145,31,2
audi,Q2,2020,33000,Semi-Auto,820,Petrol,145,32.5,2
audi,Q3,2020,33444,Semi-Auto,4846,Petrol,145,31.4,2
audi,Q3,2020,33444,Semi-Auto,475,Petrol,145,31.4,2
audi,Q3,2020,33444,Semi-Auto,425,Petrol,145,31.4,2
audi,Q5,2020,58990,Semi-Auto,2396,Diesel,145,32.5,3
audi,Q3,2020,37888,Semi-Auto,2553,Petrol,145,30.7,2
audi,Q3,2020,33591,Semi-Auto,4455,Petrol,150,39.2,1.5
audi,Q2,2020,27591,Semi-Auto,4455,Diesel,150,44.8,2
audi,Q2,2020,34251,Semi-Auto,4433,Petrol,150,32.5,2
audi,Q3,2020,31990,Semi-Auto,4432,Petrol,150,40.4,1.5
audi,A1,2020,25888,Semi-Auto,5432,Petrol,150,44.8,1.5
audi,Q2,2020,25990,Manual,4432,Petrol,150,43.5,1.5
audi,A1,2020,25491,Semi-Auto,5432,Petrol,150,44.8,1.5
audi,TT,2020,29000,Semi-Auto,2301,Petrol,150,40.9,2
audi,A3,2020,34991,Semi-Auto,4432,Petrol,150,34.5,2
audi,Q8,2020,84496,Automatic,3522,Diesel,145,30.7,4
audi,Q2,2020,24444,Manual,4432,Petrol,145,43.5,1.5
audi,Q5,2020,53990,Semi-Auto,4433,Diesel,145,34.5,3
audi,Q3,2020,32881,Semi-Auto,4432,Petrol,145,39.2,1.5
audi,A1,2020,25491,Semi-Auto,5432,Petrol,145,44.8,1.5
audi,A3,2020,35991,Semi-Auto,4433,Petrol,145,34.9,2
audi,Q3,2020,32444,Semi-Auto,4432,Petrol,145,31.4,2
audi,Q2,2020,24444,Manual,4432,Petrol,145,43.5,1.5
audi,Q5,2020,37888,Semi-Auto,4343,Petrol,145,32.1,2
audi,Q3,2020,32444,Semi-Auto,1445,Petrol,145,31.4,2
audi,A5,2020,28991,Semi-Auto,5432,Diesel,145,51.4,2
audi,Q3,2020,33491,Semi-Auto,4444,Petrol,145,39.2,1.5
audi,Q3,2020,32881,Semi-Auto,4432,Petrol,145,39.2,1.5
audi,Q3,2020,33881,Semi-Auto,4432,Petrol,145,31.4,2
audi,A4,2020,30990,Semi-Auto,4454,Petrol,145,38.2,2
audi,TT,2020,36991,Semi-Auto,4433,Petrol,150,35.3,2
audi,Q3,2020,33491,Semi-Auto,4432,Petrol,150,39.2,1.5
audi,Q3,2020,32444,Semi-Auto,4432,Petrol,145,31.4,2
audi,A3,2020,27881,Semi-Auto,5432,Petrol,145,44.1,1.5
audi,A1,2020,22990,Semi-Auto,5432,Petrol,145,44.8,1.5
audi,A1,2020,18496,Manual,5566,Petrol,145,48.7,1
audi,A1,2020,25444,Semi-Auto,1500,Petrol,145,44.8,1.5
audi,A4,2020,33888,Semi-Auto,4235,Petrol,145,36.2,2
audi,Q2,2020,23888,Semi-Auto,500,Petrol,145,42.2,1.5
audi,A1,2020,19990,Manual,4000,Petrol,145,47.9,1
audi,A1,2020,21888,Semi-Auto,3500,Petrol,145,44.8,1.5
audi,A1,2020,22290,Semi-Auto,402,Petrol,145,44.8,1.5
audi,A1,2020,22888,Semi-Auto,4000,Petrol,145,44.8,1.5
audi,Q5,2020,46450,Semi-Auto,3500,Hybrid,135,117.7,2
audi,A1,2020,19490,Manual,1500,Petrol,145,48.7,1
